ID,지역,난이도,길이,시간,식수,화장실,매점,키워드1,키워드2,코스명
2,충남,2,13.8,240,0,1,1,자연,체험,남산 녹색 둘레길
0,충남,2,13.8,240,0,1,1,자연,체험,남산 녹색 둘레길
7,충남,2,13.8,240,0,1,1,자연,체험,남산 녹색 둘레길
8,충남,2,13.8,240,0,1,1,자연,체험,남산 녹색 둘레길
5,충남,3,2.1,60,1,1,1,자연,체험,거북이 마을 솔바람길
5,충남,3,2.1,60,1,1,1,자연,체험,거북이 마을 솔바람길
5,충남,3,2.1,60,1,1,1,자연,체험,거북이 마을 솔바람길
5,충남,3,50.5,2180,1,1,1,전통,체험,내포문화숲길
5,충남,2,15.2,250,1,1,1,전통,체험,내포문화숲길
5,충남,3,18,360,0,1,1,전통,자연,서산아라메길
5,충남,3,9,180,0,1,1,자연,체험,서산아라메길
8,충남,3,11,210,0,1,1,종교,자연,서산아라메길
7,충남,3,18,360,0,1,1,자연,체험,서산아라메길
1,충남,2,3,60,0,1,1,자연,전통,서산아라메길
4,충남,3,22,420,0,1,1,자연,체험,서산아라메길
9,충남,3,7,150,0,1,0,자연,체험,서산아라메길
5,충남,2,9,150,0,1,1,자연,체험,칠갑산 솔바람길
5,충남,4,10.2,210,0,1,1,전통,자연,칠갑산 솔바람길
1,충남,2,15,220,0,1,1,자연,체험,금강2경 도보여행길
5,충남,3,3.2,110,0,1,0,자연,체험,금강 솔바람길
8,충남,2,6,120,0,1,1,전통,체험,계백의 혼이 살아 숨쉬는 솔바람 길
5,강원,3,9,180,0,1,0,자연,체험,소양강둘레길
8,충남,3,4.63,120,1,1,1,전통,체험,부여 성흥산 솔바람길
0,충남,3,1.5,40,0,1,1,자연,체험,서천 생태원길
8,충남,3,13,210,1,1,1,전통,자연,서천 남산길
4,충남,3,3.77,60,0,1,1,자연,체험,철새나그네길
1,충남,2,3.6,50,1,1,1,자연,체험,철새나그네길
8,충남,3,12.5,120,0,1,0,전통,체험,천년 솔바람길
8,충남,3,18,480,0,1,1,전통,체험,탕정둘레길
7,충남,3,25.6,1120,1,1,1,자연,체험,천년의 숲길
9,충남,3,25.6,1120,1,1,1,자연,체험,천년의 숲길
7,충남,3,25.6,1120,1,1,1,자연,체험,천년의 숲길
0,충남,3,25.6,1120,1,1,1,자연,체험,천년의 숲길
5,충남,3,19,350,1,1,1,자연,체험,마곡사 솔바람길
5,충남,2,8.2,180,0,1,1,자연,전통,봉화산 솔바람길
5,충남,2,3,60,0,0,0,자연,전통,사계 솔바람길
1,충남,4,4.8,120,0,1,1,전통,체험,온천과 함께하는 솔바람길
8,충남,3,5.2,120,1,0,0,전통,체험,태조산 솔바람길
5,충남,2,3,60,0,1,0,전통,자연,억새길
5,충남,3,7.2,180,1,1,1,전통,자연,재너머 사래 긴 밭 가는 숲길
4,충남,4,10.2,210,1,1,1,자연,체험,태안 솔향기길
7,충남,3,16,240,1,1,1,전통,체험,가야구곡 녹색길
8,충남,3,24,600,0,1,1,전통,체험,부여 백마강길
4,충남,2,6,120,0,1,1,자연,체험,녹색길
8,충남,3,14,270,1,1,1,전통,자연,고마나루 명승길
9,충남,1,10,180,1,1,1,종교,체험,내포문화숲길
9,충남,2,23.8,340,0,1,0,종교,체험,내포문화숲길
8,충남,1,11.8,210,1,1,1,종교,체험,내포문화숲길
5,충남,4,12.1,320,0,1,1,자연,체험,내포문화숲길
8,충남,3,19.1,340,1,1,1,자연,전통,내포문화숲길
8,충남,3,9.8,200,1,1,1,체험,전통,내포문화숲길
8,충남,3,20.4,440,1,1,1,전통,자연,내포문화숲길
8,충남,2,15.3,240,1,1,1,전통,자연,내포문화숲길
9,충남,3,13.1,270,0,1,1,전통,체험,내포문화숲길
9,충남,3,12.3,270,0,1,1,체험,자연,내포문화숲길
9,충남,4,16.5,390,0,1,1,전통,자연,내포문화숲길
3,강원,2,5.2,120,0,1,1,자연,체험,봄내길
5,강원,3,8.1,180,0,1,1,자연,체험,봄내길
5,강원,3,18.7,300,0,1,1,전통,자연,봄내길
4,강원,3,14.2,300,0,1,1,체험,자연,봄내길
0,강원,4,14.5,420,0,1,0,자연,체험,봄내길
7,강원,2,7.8,150,1,1,0,자연,체험,효석문학 100리길
7,강원,2,10.4,180,1,1,1,자연,체험,효석문학 100리길
7,강원,3,10.2,180,0,0,0,자연,체험,효석문학 100리길
7,강원,3,7.5,150,1,1,0,자연,전통,효석문학 100리길
7,강원,3,4.3,90,1,1,0,자연,체험,효석문학 100리길
7,강원,2,14,260,1,1,1,체험,자연,DMZ펀치볼둘레길
7,강원,3,14.6,330,1,1,1,자연,체험,DMZ펀치볼둘레길
7,강원,3,17.2,400,1,1,1,전통,자연,DMZ펀치볼둘레길
7,강원,4,16.2,380,0,1,0,체험,자연,DMZ펀치볼둘레길
5,강원,3,16,360,0,1,1,자연,체험,둔가리약수숲길
5,강원,3,7.7,240,0,1,1,자연,체험,둔가리약수숲길
5,강원,2,12,270,0,1,1,자연,체험,둔가리약수숲길
5,강원,2,6,120,1,1,1,자연,체험,산꼬라데이길
5,강원,3,5.5,120,0,1,1,자연,체험,산꼬라데이길
5,강원,3,3.8,90,0,1,0,자연,체험,산꼬라데이길
5,강원,3,1.2,30,1,1,0,자연,체험,산꼬라데이길
5,강원,3,1.1,30,0,1,0,자연,체험,산꼬라데이길
5,강원,3,4.3,90,1,1,0,체험,자연,산꼬라데이길
1,강원,3,3.3,60,1,1,0,자연,체험,산꼬라데이길
5,강원,2,7.4,150,1,1,1,체험,자연,개야리 에움 녹색길
5,강원,2,2.1,60,0,1,0,체험,자연,소양강둘레길
5,강원,2,4.1,80,1,1,0,자연,체험,매화마을 녹색길
5,강원,3,29.5,420,0,1,1,자연,체험,백두대간트레일
5,강원,2,6,90,0,1,1,자연,체험,설악누리길
5,강원,3,12.2,240,0,1,0,자연,체험,태백고원 700산소길
5,강원,4,2.5,70,0,1,1,자연,체험,산세따라걷는길
5,강원,3,4.8,90,1,1,0,체험,자연,소이산 생태숲 녹색길
5,강원,3,2.5,60,0,1,0,전통,자연,천년역사의 숨결 녹색길
5,서울,3,1.9,90,0,1,1,자연,체험,고덕산 산책길
5,서울,3,1.9,90,0,0,0,체험,자연,일자산숲나들길
8,서울,2,6.14,120,1,1,1,체험,자연,몽촌토성나들길
0,서울,2,4.17,120,0,1,1,체험,자연,석촌호수산책길
5,충남,3,2.6,60,0,1,1,체험,자연,한산 모시마루 솔바람길
0,서울,2,11.45,180,1,1,1,체험,자연,송파소리길
5,충남,3,0.8,90,0,0,0,전통,자연,이동백 소리 솔바람길
5,서울,3,6.02,150,1,1,1,체험,자연,구룡산 나들길
5,서울,3,4.8,180,0,1,1,자연,종교,대모산 나들길
8,서울,3,5.9,120,0,1,1,종교,자연,선정릉 나들길
5,서울,3,3.25,120,0,1,1,체험,자연,서리골 서리풀 나들길
5,서울,3,3.86,120,1,1,0,체험,자연,우면산 나들길
5,서울,2,3.2,60,1,1,1,자연,체험,동작충효길
5,서울,2,2.6,50,1,1,1,전통,도시,동작충효길
5,서울,2,4.7,80,0,1,1,체험,도시,동작충효길
5,서울,2,3.4,60,0,1,1,체험,도시,동작충효길
